AdolescentID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;MAAS_ENT_Result;RangID
1;3;4;2;1;4;5;3;6;5;2;3;1;2;1;6;48;3
3;1;4;1;1;4;3;3;1;2;3;3;3;3;1;2;35;2
7;1;1;1;2;3;3;2;2;1;6;1;3;5;4;2;37;2
8;1;6;3;2;5;5;4;6;5;3;5;6;4;5;6;66;4
9;6;6;5;2;6;5;6;2;6;6;3;6;5;4;6;74;5
10;2;5;4;6;6;3;5;3;3;5;5;5;5;5;3;65;4
11;1;4;1;2;1;5;4;4;6;6;3;6;6;6;6;61;4
13;3;3;3;3;3;2;3;2;4;4;5;6;5;5;3;54;3
15;4;4;3;6;3;4;4;2;3;4;4;3;4;3;5;56;4
16;5;6;4;6;4;6;5;3;3;5;6;6;5;4;6;74;5
17;5;4;5;1;4;4;2;5;4;5;6;6;6;5;6;68;4
18;1;2;1;1;1;3;2;4;5;5;4;2;2;2;2;37;2
19;4;5;1;6;6;5;6;3;6;6;6;6;2;5;6;73;5
20;6;5;5;5;5;6;6;6;5;5;1;2;4;6;6;73;5
21;5;4;5;4;5;6;5;6;4;5;4;6;5;6;4;74;5
22;2;2;2;3;5;5;3;5;5;5;6;6;6;5;6;66;4
23;6;5;4;6;6;6;5;5;6;6;5;6;5;6;3;80;5
24;2;3;4;1;3;3;4;6;6;3;2;4;4;5;6;56;4
25;4;2;3;2;4;2;6;1;3;5;2;3;4;3;6;50;3
26;6;6;4;4;3;2;2;2;6;4;3;3;3;3;6;57;4
28;4;5;6;1;3;6;5;5;3;6;6;6;3;5;6;70;5
29;6;5;5;4;5;5;6;5;6;6;6;6;5;6;6;82;5
34;1;2;1;1;1;1;2;2;2;1;1;2;3;2;3;25;1
35;3;6;6;1;3;6;3;3;6;6;6;6;6;6;6;73;5
36;3;6;2;1;2;5;4;5;4;5;5;5;4;5;5;61;4
37;4;5;6;6;5;5;6;3;4;5;6;6;6;6;6;79;5
39;3;6;2;2;3;2;4;1;6;4;6;6;4;2;3;54;3
42;4;4;3;3;4;2;2;4;5;5;2;2;2;3;5;50;3
44;1;2;3;2;2;1;2;1;3;5;3;2;3;2;3;35;2
47;2;4;2;2;4;5;3;4;5;4;5;3;5;5;2;55;3
48;6;5;6;4;6;5;5;5;2;5;3;6;6;5;6;75;5
49;6;1;1;6;5;1;1;4;6;1;2;4;1;1;2;42;3
50;2;1;1;6;2;6;2;1;6;5;6;6;3;6;6;59;4
51;6;5;5;1;6;2;6;4;4;5;5;6;6;6;6;73;5
52;4;5;4;3;4;6;5;1;4;5;6;6;4;4;4;65;4
53;6;5;6;4;6;6;6;3;3;6;6;6;5;6;6;80;5
54;3;5;5;2;3;6;5;5;6;5;2;6;4;5;5;67;4
57;3;1;1;1;1;3;1;1;1;3;1;3;3;1;4;28;2
58;2;2;2;2;5;1;2;2;2;2;2;3;2;2;6;37;2
59;5;4;3;4;6;5;2;1;3;2;3;4;6;4;2;54;3
60;6;5;5;6;6;5;6;6;5;6;6;6;6;5;6;85;5
61;6;2;1;3;3;2;3;3;3;3;3;3;3;3;3;44;3
62;6;4;6;1;6;6;6;5;5;6;6;6;5;4;6;78;5
63;6;5;6;4;3;6;3;3;3;4;3;6;1;1;5;59;4
64;4;4;3;2;5;2;4;2;4;5;5;4;5;5;5;59;4
65;6;2;1;1;6;4;3;2;3;6;6;6;1;6;6;59;4
66;3;2;2;3;4;3;3;5;4;4;3;2;1;2;5;46;3
67;6;3;2;2;2;3;2;2;2;2;2;2;3;3;5;41;2
68;5;4;3;3;5;1;5;4;4;4;6;5;5;5;4;63;4
69;4;2;1;1;1;2;5;3;1;6;1;6;2;1;4;40;2
70;4;6;5;3;5;3;5;4;3;5;3;4;3;5;4;62;4
71;6;6;3;3;6;6;5;4;4;5;6;6;6;5;6;77;5
72;6;5;2;5;6;3;1;4;3;2;1;6;1;5;6;56;4
73;6;5;3;5;6;3;6;3;4;5;5;4;6;4;6;71;5
74;5;5;4;4;5;3;4;2;2;5;2;6;3;2;6;58;4
77;6;2;6;2;6;1;3;1;5;6;2;5;2;4;6;57;4
78;3;2;2;6;3;6;2;4;5;6;1;3;2;6;2;53;3
79;6;3;3;1;6;2;3;1;1;5;4;5;6;3;6;55;3
80;6;5;3;6;5;4;6;5;4;6;6;6;4;5;6;5;1
81;5;5;6;6;1;3;6;6;2;5;5;5;5;5;5;70;5
82;5;6;3;5;6;6;4;3;6;4;2;5;5;3;5;68;4
83;6;2;1;1;3;1;3;3;4;3;3;4;4;3;4;45;3
84;6;5;5;4;6;4;5;4;5;5;6;6;6;5;6;78;5
85;4;5;6;3;4;6;6;4;6;5;6;6;6;5;6;78;5
86;5;6;4;4;6;3;4;5;6;6;6;6;5;6;6;78;5
87;6;4;4;3;5;6;6;4;4;4;3;3;5;6;6;69;4
88;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;90;5
89;6;6;5;6;2;4;4;5;5;6;5;6;4;6;6;76;5
